Product, Type                                   
5 Year Cashable Escalating, Cashable GIC          
5 Year Escalating,Non-redeemable GIC
Bonus Rate RRSP GIC,Non-redeemable GIC
Cashable Escalating RRSP GIC, Cashable GIC 
CDN FIN MKT RTN GIC 5Y, Market Linked GIC            
CDN MKT RTN GIC 5Y, Market Linked GIC               
Flexible RRSP GIC, Cashable GIC                 
GTD MKT RTN GIC 3Y, Market Linked GIC                 
GTD MKT RTN GIC 5Y, Market Linked GIC                
MNTHLY INCM FUND LINKED GIC 5Y, Market Linked GIC    
MTHLY INCM FUND LINKED GIC 3Y, Market Linked GIC      
Non redeembale Escalating RRSP GIC, Non-redeemable GIC 
Non-Redeemable RRSP GIC, Non-redeemable GIC           
Redeemable Long Term RRSP GIC, Cashable GIC     
Redeemable RRSP GIC, Cashable GIC                
Redeemable Short Term RRSP GIC, Cashable GIC     
Stock Market Advantage RRSP GIC, Index-linked GIC   
Stock Market RRSP GIC, Index-linked GIC              
Short-Term Investment (for 3Y MLGIC), Market Linked GIC            
Short-Term Investment (for 5Y MLGIC), Market Linked GIC            
